iter	Passed	Remaining
0	2	281
1	4	224
2	6	208
3	8	197
4	9	187
5	11	183
6	13	182
7	15	179
8	17	175
9	19	172
10	20	168
11	22	166
12	24	164
13	26	160
14	27	156
15	29	153
16	30	151
17	32	148
18	34	145
19	35	143
20	37	140
21	38	137
22	40	135
23	42	133
24	44	132
25	46	131
26	48	130
27	49	127
28	51	125
29	52	123
30	54	121
31	55	118
32	57	117
33	60	117
34	62	115
35	63	113
36	65	111
37	67	109
38	68	107
39	70	105
40	72	103
41	73	101
42	75	99
43	77	98
44	78	96
45	80	94
46	81	92
47	83	90
48	84	88
49	86	86
50	88	84
51	90	83
52	91	81
53	93	79
54	94	77
55	96	75
56	97	73
57	99	72
58	102	71
59	104	69
60	106	67
61	108	66
62	110	64
63	111	62
64	113	61
65	115	59
66	116	57
67	118	55
68	120	54
69	122	52
70	124	50
71	125	48
72	127	47
73	129	45
74	131	43
75	132	41
76	134	40
77	136	38
78	138	36
79	139	34
80	141	33
81	143	31
82	144	29
83	146	27
84	147	26
85	149	24
86	151	22
87	153	20
88	155	19
89	156	17
90	158	15
91	160	13
92	161	12
93	163	10
94	165	8
95	167	6
96	168	5
97	170	3
98	172	1
99	174	0
